method,sigma,tau,pct_solved,n_problems
dfbd_spectral,0.0001,0.1,98.80503144654088,1590
dfbd_coord_ls,0.0001,0.1,92.0125786163522,1590
dfbd_fd,0.0001,0.1,93.77358490566037,1590
dfbd_spectral,0.0001,0.01,93.08176100628931,1590
dfbd_coord_ls,0.0001,0.01,81.76100628930817,1590
dfbd_fd,0.0001,0.01,75.09433962264151,1590
dfbd_spectral,0.0001,0.001,84.0251572327044,1590
dfbd_coord_ls,0.0001,0.001,62.83018867924528,1590
dfbd_fd,0.0001,0.001,60.943396226415096,1590
dfbd_spectral,0.001,0.1,98.86792452830188,1590
dfbd_coord_ls,0.001,0.1,90.0,1590
dfbd_fd,0.001,0.1,90.18867924528301,1590
dfbd_spectral,0.001,0.01,92.0754716981132,1590
dfbd_coord_ls,0.001,0.01,81.06918238993711,1590
dfbd_fd,0.001,0.01,71.44654088050315,1590
dfbd_spectral,0.001,0.001,83.71069182389937,1590
dfbd_coord_ls,0.001,0.001,62.075471698113205,1590
dfbd_fd,0.001,0.001,56.9811320754717,1590
dfbd_spectral,0.01,0.1,94.15094339622641,1590
dfbd_coord_ls,0.01,0.1,83.58490566037736,1590
dfbd_fd,0.01,0.1,88.61635220125787,1590
dfbd_spectral,0.01,0.01,91.13207547169812,1590
dfbd_coord_ls,0.01,0.01,77.23270440251572,1590
dfbd_fd,0.01,0.01,74.71698113207547,1590
dfbd_spectral,0.01,0.001,82.45283018867924,1590
dfbd_coord_ls,0.01,0.001,60.943396226415096,1590
dfbd_fd,0.01,0.001,62.893081761006286,1590
dfbd_spectral,0.1,0.1,93.14465408805032,1590
dfbd_coord_ls,0.1,0.1,88.86792452830188,1590
dfbd_fd,0.1,0.1,85.9119496855346,1590
dfbd_spectral,0.1,0.01,85.40880503144655,1590
dfbd_coord_ls,0.1,0.01,79.18238993710692,1590
dfbd_fd,0.1,0.01,71.50943396226415,1590
dfbd_spectral,0.1,0.001,77.42138364779875,1590
dfbd_coord_ls,0.1,0.001,59.937106918238996,1590
dfbd_fd,0.1,0.001,58.742138364779876,1590
